A,1,Archive BHHS74Reunion website to external SSD,2025-05-05,12,1.0,0,Work in Progress,2025-04-08,2025-04-08,2025-04-01,2025-06-30,2025-05-05,
A,2,Develop Personal Planning Tool,2025-05-05,300,40.0,0,Work in Progress,2025-03-20,2025-03-20,2025-04-01,2025-04-30,2025-05-15,
A,1,Check with GoDaddy about providing service to archive website to external SSD,2025-04-15,2,1.0,1,Work in Progress, ,,,,,
B,2,Install a WordPress Archive Plugin,2025-05-01,1,0.0,1,Not Started,2025-05-01,,2025-04-10,2025-06-30,2025-05-01,
B,3,Have GoDaddy install PHPMyAdmin,2025-05-02,1,0.0,1,Not Started,2025-05-02,,2025-04-10,2025-06-30,2025-05-03,
B,4,Run Archive Plugin,2025-05-03,2,0.0,1,Not Started,2025-05-03,,2025-04-10,2025-06-30,2025-05-03,
B,5,Log into PHPMyAdmin and save Database to disk,2025-05-04,1,0.0,1,Not Started,2025-05-04,,2025-04-10,2025-06-30,2025-05-04,
B,6,FTP all website files to computer,2025-05-05,3,0.0,1,Not Started,2025-05-05,,2025-04-10,2025-06-30,2025-05-05,
B,7,Store all website files on external SSD,2025-05-05,2,0.0,1,Not Started,2025-05-05,,2025-04-10,2025-06-30,2025-05-05,
A,0,Design Database for Personal Planner,2025-04-08,24,16.0,2,Work in Progress,2025-03-20,2025-03-20,2025-04-10,2025-04-08,2025-05-01,
A,0,Design UML Diagram for Personal Planner,2025-04-12,16,5.25,2,Work in Progress,2025-04-08,2025-04-08,2025-04-10,2025-04-15,2025-04-15,
C,1,Grocery Shopping,2025-04-12,2,2,0,Not Started,2025-04-11,,2025-04-11,2025-04-11,,
C,2,Daily 30 minute walk,2025-04-11,1,0.0,0,Not Started,2025-04-11,,2025-04-11,2056-07-07,2056-07-07,
C,3,Clean apartment,2025-04-12,2,0.0,0,Not Started,2025-04-12,,2025-04-11,2025-04-12,
